Code zone,Code Produit,Code année,Emission indirecte de NO2
128,5061,2018,0.0
128,5061,2019,0.0
128,5062,2015,0.0011
128,5062,2016,0.0011
128,5062,2017,0.0011
128,5062,2018,0.0011
128,5062,2019,0.0011
128,5063,2015,0.0009
128,5063,2016,0.0009
128,5063,2017,0.0009
128,5063,2018,0.0009
128,5063,2019,0.0009
41,5061,2015,157.2769
41,5061,2016,155.1955
41,5061,2017,150.8905
41,5061,2018,143.7225
41,5061,2019,149.9362
41,5062,2015,32.0505
41,5062,2016,32.6676
41,5062,2017,31.8398
41,5062,2018,31.0194
41,5062,2019,28.6512
41,5063,2015,46.4627
41,5063,2016,47.5789
41,5063,2017,46.1076
41,5063,2018,46.2945
41,5063,2019,46.8417
41,5064,2015,22.9869
41,5064,2016,22.9325
41,5064,2017,23.0641
41,5064,2018,22.8651
41,5064,2019,22.9543
214,5061,2015,0.7808
214,5061,2016,0.7903
214,5061,2017,0.7903
214,5061,2018,0.7903
214,5061,2019,0.7903
214,5062,2015,0.3172
214,5062,2016,0.3108
214,5062,2017,0.3118
214,5062,2018,0.316
214,5062,2019,0.3232
214,5063,2015,0.17600000000000002
214,5063,2016,0.1715
214,5063,2017,0.1724
214,5063,2018,0.1759
214,5063,2019,0.1794
214,5064,2015,0.0666
214,5064,2016,0.0681
214,5064,2017,0.0733
214,5064,2018,0.0783
214,5064,2019,0.0739
50,5061,2015,0.0406
50,5061,2016,0.0407
50,5061,2017,0.0407
50,5061,2018,0.0397
50,5061,2019,0.0404
50,5062,2015,0.0354
50,5062,2016,0.0345
50,5062,2017,0.0346
50,5062,2018,0.0357
50,5062,2019,0.0347
50,5063,2015,0.0747
50,5063,2016,0.0771
50,5063,2017,0.0814
50,5063,2018,0.0801
50,5063,2019,0.081
50,5064,2015,0.0047
50,5064,2016,0.0016
50,5064,2017,0.0025
50,5064,2018,0.0021
50,5064,2019,0.0033
44,5061,2015,2.7642
44,5061,2016,2.633
44,5061,2017,3.1285
44,5061,2018,2.8868
44,5061,2019,2.8828
44,5062,2015,2.2767
44,5062,2016,2.175
44,5062,2017,1.5846
44,5062,2018,1.7264
44,5062,2019,1.5533
44,5063,2015,6.0229
44,5063,2016,6.1487
44,5063,2017,6.9198
44,5063,2018,7.3839
44,5063,2019,7.8369
44,5064,2015,0.17800000000000002
44,5064,2016,0.196
44,5064,2017,0.2058
44,5064,2018,0.1884
44,5064,2019,0.1912
45,5062,2015,0.0011
45,5062,2016,0.0011
45,5062,2017,0.0011
45,5062,2018,0.0011
45,5062,2019,0.0011
45,5063,2015,0.0297
45,5063,2016,0.0299
45,5063,2017,0.0298
45,5063,2018,0.0299
45,5063,2019,0.03
45,5064,2015,0.0027
45,5064,2016,0.0028
45,5064,2017,0.0029
45,5064,2018,0.003
45,5064,2019,0.0031
46,5061,2015,0.0016
46,5061,2016,0.0016
46,5061,2017,0.0017
46,5061,2018,0.0017
