Code Produit,Code année,Emission de N2O,Emission indirecte de NO2
5061,2019,0.1242,0.0404
5062,2015,0.0833,0.0354
5062,2016,0.0812,0.0345
5062,2017,0.0813,0.0346
5062,2018,0.084,0.0357
5062,2019,0.0817,0.0347
5063,2015,0.2373,0.0747
5063,2016,0.2447,0.0771
5063,2017,0.2592,0.0814
5063,2018,0.2593,0.0801
5063,2019,0.2639,0.081
5064,2015,0.021,0.0047
5064,2016,0.0073,0.0016
5064,2017,0.0109,0.0025
5064,2018,0.0091,0.0021
5064,2019,0.0148,0.0033
5061,2015,8.5051,2.7642
5061,2016,8.1015,2.633
5061,2017,9.6263,3.1285
5061,2018,8.8824,2.8868
5061,2019,8.87,2.8828
5062,2015,5.3569,2.2767
5062,2016,5.1177,2.175
5062,2017,3.7284,1.5846
5062,2018,4.062,1.7264
5062,2019,3.6548,1.5533
5063,2015,27.3636,6.0229
5063,2016,27.7666,6.1487
5063,2017,31.3594,6.9198
5063,2018,33.5453,7.3839
5063,2019,35.5333,7.8369
5064,2015,0.7909999999999999,0.17800000000000002
5064,2016,0.8712,0.196
5064,2017,0.9146,0.2058
5064,2018,0.8372,0.1884
5064,2019,0.8497,0.1912
5062,2015,0.0026,0.0011
5062,2016,0.0026,0.0011
5062,2017,0.0026,0.0011
5062,2018,0.0026,0.0011
5062,2019,0.0026,0.0011
5063,2015,0.1051,0.0297
5063,2016,0.1059,0.0299
5063,2017,0.1058,0.0298
5063,2018,0.106,0.0299
5063,2019,0.1062,0.03
5064,2015,0.0118,0.0027
5064,2016,0.0124,0.0028
5064,2017,0.0128,0.0029
5064,2018,0.0133,0.003
5064,2019,0.0137,0.0031
5061,2015,0.0048,0.0016
5061,2016,0.005,0.0016
5061,2017,0.0052,0.0017
5061,2018,0.0052,0.0017
5061,2019,0.0051,0.0017
5062,2015,0.0303,0.0129
5062,2016,0.0322,0.0137
5062,2017,0.0329,0.013999999999999999
5062,2018,0.0337,0.0143
5062,2019,0.0345,0.0146
5063,2015,0.5394,0.1356
